submitted (unix timestamp),r1m1,r1m1Games,r1m2,r1m2Games,r1m3,r1m3Games,r1m4,r1m4Games,r1m5,r1m5Games,r1m6,r1m6Games,r1m7,r1m7Games,r1m8,r1m8Games,r2m1,r2m2,r2m3,r2m4,r3m1,r3m2,r4m1,SCF goals
1554641198,TBL,4,BOS,6,WSH,5,PIT,5,CGY,5,VGK,6,NSH,6,WPG,7,TBL,WSH,VGK,WPG,WSH,VGK,WSH,23
1554641345,TBL,5,TOR,7,WSH,5,PIT,6,CGY,6,SJS,5,NSH,5,STL,5,TBL,WSH,SJS,NSH,TBL,NSH,TBL,35
1554642351,TBL,6,BOS,7,CAR,7,PIT,6,CGY,6,VGK,7,NSH,6,STL,7,TBL,CAR,CGY,NSH,TBL,NSH,TBL,65
1554642367,TBL,5,BOS,6,WSH,5,PIT,7,CGY,6,VGK,6,NSH,5,WPG,6,TBL,WSH,CGY,WPG,WSH,CGY,WSH,30
1554642374,TBL,5,BOS,7,WSH,6,NYI,6,CGY,5,VGK,6,DAL,7,STL,6,TBL,NYI,CGY,DAL,TBL,CGY,TBL,69
1554642411,TBL,5,BOS,7,WSH,6,PIT,6,CGY,6,VGK,7,NSH,7,WPG,6,BOS,PIT,VGK,WPG,BOS,WPG,BOS,40
1554642416,TBL,5,TOR,7,WSH,6,NYI,7,CGY,5,SJS,6,NSH,6,WPG,7,TBL,WSH,SJS,WPG,TBL,SJS,SJS,27
1554642449,TBL,5,BOS,6,WSH,6,NYI,7,CGY,5,SJS,7,NSH,6,STL,6,TBL,WSH,CGY,STL,TBL,STL,STL,34
1554642628,TBL,5,BOS,6,CAR,7,NYI,6,CGY,5,VGK,7,DAL,5,WPG,6,TBL,CAR,VGK,DAL,TBL,VGK,VGK,21
1554642632,TBL,5,BOS,7,WSH,7,PIT,6,CGY,5,SJS,7,DAL,6,WPG,6,TBL,WSH,CGY,WPG,TBL,WPG,TBL,27
1554642745,TBL,5,BOS,7,WSH,6,NYI,7,CGY,6,SJS,6,NSH,5,WPG,6,TBL,NYI,CGY,WPG,TBL,WPG,TBL,31
1554642780,TBL,4,BOS,5,WSH,4,PIT,5,CGY,6,SJS,6,NSH,6,WPG,5,TBL,PIT,SJS,NSH,PIT,SJS,PIT,23
1554642819,TBL,5,BOS,6,WSH,4,PIT,6,CGY,5,SJS,6,NSH,7,WPG,6,TBL,WSH,CGY,WPG,TBL,CGY,TBL,35
1554643383,CBJ,7,BOS,5,WSH,5,PIT,6,CGY,6,SJS,6,NSH,5,STL,7,BOS,PIT,SJS,NSH,PIT,SJS,SJS,38
1554643465,TBL,4,TOR,7,WSH,5,PIT,6,CGY,6,VGK,6,NSH,5,WPG,6,TBL,PIT,CGY,WPG,TBL,CGY,TBL,56
1554643617,TBL,5,TOR,6,WSH,5,NYI,5,CGY,5,SJS,7,DAL,6,WPG,5,TBL,WSH,SJS,WPG,TBL,WPG,TBL,42
1554643977,TBL,4,BOS,5,WSH,5,PIT,7,COL,6,VGK,6,DAL,6,WPG,7,TBL,PIT,VGK,WPG,PIT,VGK,VGK,22
1554644060,TBL,4,BOS,7,CAR,7,NYI,6,COL,6,VGK,5,NSH,6,WPG,7,BOS,NYI,COL,WPG,BOS,WPG,BOS,26
1554644542,TBL,6,TOR,7,CAR,6,PIT,7,CGY,6,VGK,6,NSH,5,STL,6,TBL,PIT,VGK,STL,PIT,VGK,PIT,26
1554644555,TBL,6,TOR,6,WSH,6,PIT,5,COL,7,VGK,6,DAL,7,STL,7,TOR,WSH,COL,STL,TOR,COL,TOR,32
